,origin,destination,volume_pt,volume_car,volume_walk,volumes_calibration
254,zone_bc_33,zone_bc_37,169.0,172.0,33.0,374.0
255,zone_bc_33,zone_bc_39,97.0,0.0,0.0,97.0
256,zone_bc_34,zone_bc_16,76.0,102.0,0.0,178.0
257,zone_bc_37,zone_bc_9,604.0,704.0,0.0,1308.0
258,zone_bc_37,zone_bc_11,261.0,37.0,0.0,298.0
259,zone_bc_37,zone_bc_13,106.0,0.0,0.0,106.0
260,zone_bc_37,zone_bc_14,209.0,0.0,0.0,209.0
261,zone_bc_37,zone_bc_16,131.0,65.0,0.0,196.0
262,zone_bc_37,zone_bc_19,114.0,0.0,0.0,114.0
263,zone_bc_37,zone_bc_21,651.0,0.0,0.0,651.0
264,zone_bc_37,zone_bc_33,107.0,237.0,0.0,344.0
265,zone_bc_37,zone_bc_39,139.0,38.0,0.0,177.0
266,zone_bc_39,zone_bc_1,726.0,219.0,60.0,1005.0
267,zone_bc_39,zone_bc_3,1228.0,29.0,14.0,1271.0
268,zone_bc_39,zone_bc_4,755.0,124.0,0.0,879.0
269,zone_bc_39,zone_bc_9,122.0,196.0,0.0,318.0
270,zone_bc_39,zone_bc_10,52.0,0.0,0.0,52.0
271,zone_bc_39,zone_bc_11,1065.0,311.0,0.0,1376.0
272,zone_bc_39,zone_bc_13,4897.0,69.0,0.0,4966.0
273,zone_bc_39,zone_bc_14,414.0,474.0,0.0,888.0
274,zone_bc_39,zone_bc_16,1052.0,165.0,52.0,1269.0
275,zone_bc_39,zone_bc_20,1755.0,164.0,0.0,1919.0
276,zone_bc_39,zone_bc_23,661.0,195.0,0.0,856.0
277,zone_bc_39,zone_bc_24,174.0,95.0,0.0,269.0
278,zone_bc_39,zone_bc_33,97.0,36.0,0.0,133.0
279,zone_bc_39,zone_bc_37,104.0,60.0,0.0,164.0
280,zone_bc_39,zone_bc_39,104.0,60.0,5297.0,5461.0
281,zone_bc_40,zone_bc_24,66.0,0.0,0.0,66.0
282,zone_bc_41,zone_bc_16,113.0,0.0,0.0,113.0
283,zone_bc_54,zone_bc_14,181.0,0.0,0.0,181.0
284,zone_bc_54,zone_bc_16,159.0,0.0,0.0,159.0
285,zone_bc_54,zone_bc_20,78.0,0.0,0.0,78.0
286,zone_bc_54,zone_bc_39,52.0,0.0,0.0,52.0
287,zone_bc_59,zone_bc_16,136.0,692.0,0.0,828.0
288,zone_bc_59,zone_bc_24,94.0,0.0,0.0,94.0
289,zone_bc_61,zone_bc_14,181.0,0.0,0.0,181.0
290,zone_bc_61,zone_bc_24,225.0,0.0,0.0,225.0
291,zone_bc_62,zone_bc_9,627.0,0.0,0.0,627.0
292,zone_bc_62,zone_bc_11,25.0,0.0,0.0,25.0
293,zone_bc_62,zone_bc_33,51.0,36.0,0.0,87.0
294,zone_bc_1,zone_bc_17,0.0,88.0,0.0,88.0
295,zone_bc_1,zone_bc_37,0.0,1581.0,0.0,1581.0
296,zone_bc_3,zone_bc_28,0.0,90.0,0.0,90.0
297,zone_bc_4,zone_bc_15,0.0,45.0,0.0,45.0
298,zone_bc_4,zone_bc_20,0.0,122.0,0.0,122.0
299,zone_bc_4,zone_bc_23,0.0,90.0,0.0,90.0
300,zone_bc_7,zone_bc_13,0.0,139.0,0.0,139.0
301,zone_bc_9,zone_bc_1,0.0,1706.0,0.0,1706.0
302,zone_bc_9,zone_bc_17,0.0,90.0,0.0,90.0
303,zone_bc_9,zone_bc_31,0.0,843.0,0.0,843.0
304,zone_bc_9,zone_bc_38,0.0,1176.0,0.0,1176.0
305,zone_bc_9,zone_bc_52,0.0,249.0,0.0,249.0
